Country,2024 Population,2023 Population,Area,Density,Growth Rate,World Rank,Currency Code,Exchange Rate to USD
Dominican Republic,11427557,"11,331,265",48.7K,48.3K,237,0.85%,N/A,N/A
United Arab Emirates,11027129,"10,642,081",83.6K,71K,155,3.62%,N/A,N/A
Cuba,10979783,"11,019,931",109.9K,103.8K,106,-0.36%,N/A,N/A
Honduras,10825703,"10,644,851",112.5K,111.9K,97,1.7%,N/A,N/A
Czech Republic,10735859,"10,809,716",78.9K,77.2K,139,-0.68%,N/A,N/A
Sweden,10606999,"10,551,494",450.3K,407.3K,26,0.53%,N/A,N/A
Tajikistan,10590927,"10,389,799",143.1K,138.8K,76,1.94%,N/A,N/A
Papua New Guinea,10576502,"10,389,635",462.8K,452.9K,23,1.8%,N/A,N/A
Portugal,10425292,"10,430,738",92.1K,91.6K,114,-0.05%,N/A,N/A
Azerbaijan,10336577,"10,318,207",86.6K,82.6K,125,0.18%,N/A,N/A
Greece,10047817,"10,242,908",132K,128.9K,78,-1.9%,N/A,N/A
Hungary,9676135,"9,686,463",93K,91.3K,106,-0.11%,N/A,N/A
Togo,9515236,"9,304,337",56.8K,54.4K,175,2.27%,N/A,N/A
Israel,9387021,"9,256,314",20.8K,21.6K,434,1.41%,N/A,N/A
Austria,9120813,"9,130,429",83.9K,82.5K,111,-0.11%,N/A,N/A
Belarus,9056696,"9,115,680",207.6K,203K,45,-0.65%,N/A,N/A
Switzerland,8921981,"8,870,561",41.3K,39.5K,226,0.58%,N/A,N/A
Sierra Leone,8642022,"8,460,512",71.7K,72.2K,120,2.15%,N/A,N/A
Laos,7769819,"7,664,993",236.8K,230.8K,34,1.37%,N/A,N/A
Turkmenistan,7494498,"7,364,438",488.1K,469.9K,16,1.77%,N/A,N/A
Hong Kong,7414909,"7,442,734",1.1K,1.1K,"7,062",-0.37%,N/A,N/A
Libya,7381023,"7,305,659",1.8M,1.8M,4,1.03%,N/A,N/A
Kyrgyzstan,7186009,"7,073,516",200K,191.8K,37,1.59%,N/A,N/A
Paraguay,6929153,"6,844,146",406.8K,397.3K,17,1.24%,N/A,N/A
Nicaragua,6916140,"6,823,613",130.4K,120.3K,57,1.36%,N/A,N/A
Bulgaria,6757689,"6,795,803",110.9K,108.6K,62,-0.56%,N/A,N/A
Serbia,6736216,"6,773,201",88.4K,87.5K,77,-0.55%,N/A,N/A
El Salvador,6338193,"6,309,624",21K,20.7K,306,0.45%,N/A,N/A
Republic of the Congo,6332961,"6,182,885",342K,341.5K,19,2.43%,N/A,N/A
Denmark,5977412,"5,948,136",43.1K,40K,149,0.49%,N/A,N/A
Singapore,5832387,"5,789,090",710,718,"8,123",0.75%,N/A,N/A
Lebanon,5805962,"5,773,493",10.5K,10.2K,568,0.56%,N/A,N/A
Finland,5617310,"5,601,185",338.4K,303.9K,18,0.29%,N/A,N/A
Liberia,5612817,"5,493,031",111.4K,96.3K,58,2.18%,N/A,N/A
Norway,5576660,"5,519,167",323.8K,364.3K,15,1.04%,N/A,N/A
Slovakia,5506760,"5,518,055",49K,49K,112,-0.2%,N/A,N/A
Palestine,5495443,"5,409,202",6.2K,6K,913,1.59%,N/A,N/A
Central African Republic,5330690,"5,152,421",623K,623K,9,3.46%,N/A,N/A
Oman,5281538,"5,049,269",309.5K,309.5K,17,4.6%,N/A,N/A
Ireland,5255017,"5,196,630",70.3K,68.9K,76,1.12%,N/A,N/A
New Zealand,5213944,"5,172,836",270.5K,263.3K,20,0.79%,N/A,N/A
Mauritania,5169395,"5,022,441",1M,1M,5,2.93%,N/A,N/A
Costa Rica,5129910,"5,105,525",51.1K,51.1K,100,0.48%,N/A,N/A
Kuwait,4934507,"4,838,782",17.8K,17.8K,277,1.98%,N/A,N/A
Panama,4515577,"4,458,759",75.4K,74.2K,61,1.27%,N/A,N/A
Croatia,3875325,"3,896,023",56.6K,56K,69,-0.53%,N/A,N/A
Georgia,3807670,"3,807,492",69.7K,69.5K,55,0%,N/A,N/A
Eritrea,3535603,"3,470,390",117.6K,121K,29,1.88%,N/A,N/A
Mongolia,3475540,"3,431,932",1.6M,1.6M,2,1.27%,N/A,N/A
Uruguay,3386588,"3,388,081",181K,175K,19,-0.04%,N/A,N/A
Puerto Rico,3242204,"3,242,023",8.9K,8.9K,366,0.01%,N/A,N/A
Bosnia and Herzegovina,3164253,"3,185,073",51.2K,51.2K,62,-0.65%,N/A,N/A
Qatar,3048423,"2,979,082",11.6K,11.5K,265,2.33%,N/A,N/A
Moldova,3034961,"3,067,070",33.8K,32.9K,92,-1.05%,N/A,N/A
Namibia,3030131,"2,963,095",825.6K,823.3K,4,2.26%,N/A,N/A
Armenia,2973840,"2,943,393",29.7K,28.5K,104,1.03%,N/A,N/A
Lithuania,2859110,"2,854,099",65.3K,62.6K,46,0.18%,N/A,N/A
Jamaica,2839175,"2,839,786",11K,10.8K,262,-0.02%,N/A,N/A
Albania,2791765,"2,811,655",28.7K,27.4K,102,-0.71%,N/A,N/A
Gambia,2759988,"2,697,845",10.7K,10.1K,273,2.3%,N/A,N/A
Gabon,2538952,"2,484,789",267.7K,257.7K,10,2.18%,N/A,N/A
Botswana,2521139,"2,480,244",582K,566.7K,4,1.65%,N/A,N/A
Lesotho,2337423,"2,311,472",30.4K,30.4K,77,1.12%,N/A,N/A
Guinea Bissau,2201352,"2,153,339",36.1K,28.1K,78,2.23%,N/A,N/A
Slovenia,2118697,"2,118,396",20.3K,20.1K,105,0.01%,N/A,N/A
Equatorial Guinea,1892516,"1,847,549",28.1K,28.1K,67,2.43%,N/A,N/A
Latvia,1871871,"1,882,396",64.6K,62.2K,30,-0.56%,N/A,N/A
North Macedonia,1823009,"1,831,802",25.7K,25.2K,72,-0.48%,N/A,N/A
Bahrain,1607049,"1,569,666",765,785,"2,047",2.38%,N/A,N/A
Trinidad and Tobago,1507782,"1,502,932",5.1K,5.1K,294,0.32%,N/A,N/A
Timor Leste,1400638,"1,384,286",14.9K,14.9K,94,1.18%,N/A,N/A
Estonia,1360546,"1,367,196",45.2K,42.8K,32,-0.49%,N/A,N/A
Cyprus,1358282,"1,344,976",9.3K,9.2K,147,0.99%,N/A,N/A
Mauritius,1271169,"1,273,588",2K,2K,626,-0.19%,N/A,N/A
Eswatini,1242822,"1,230,506",17.4K,17.2K,72,1%,N/A,N/A
Djibouti,1168722,"1,152,944",23.2K,23.2K,50,1.37%,N/A,N/A
